Index,Arrival Time,Job Size,End Time,Start Job,Response Time,Turnaround Time,Job State,Context Switches
536,39205,266,275615,275599,21133,236410,2,5
537,39319,51,92381,92380,21113,53062,2,1
538,39375,257,275772,275765,21157,236397,2,5
539,39425,262,275924,275912,21207,236499,2,5
540,39477,253,276069,276066,21255,236592,2,5
541,39537,253,276187,276184,21295,236650,2,5
542,39626,39,61007,60968,21342,21381,2,0
543,39678,241,239235,239194,21379,199557,2,4
544,39730,248,239433,239385,21427,199703,2,4
545,39844,228,239617,239589,21463,199773,2,4
546,39984,46,61466,61420,21436,21482,2,0
547,40063,243,239860,239817,21403,199797,2,4
548,40141,240,240150,240110,21475,200009,2,4
549,40238,52,94369,94367,21512,54131,2,1
550,40328,230,240431,240401,21572,200103,2,4
551,40408,256,277562,277556,21592,237154,2,5
552,40481,251,277706,277705,21623,237225,2,5
553,40551,274,277980,277956,21653,237429,2,5
554,40611,223,241254,241231,21693,200643,2,4
555,40646,258,278188,278180,21747,237542,2,5
556,40727,225,241579,241554,21766,200852,2,4
557,40800,256,278487,278481,21793,237687,2,5
558,40863,243,241929,241886,21831,201066,2,4
559,40932,267,278693,278676,21862,237761,2,5
560,40962,241,242370,242329,21932,201408,2,4
561,41046,58,96372,96364,21948,55326,2,1
562,41138,252,279216,279214,21997,238078,2,5
563,41201,222,242992,242970,22034,201791,2,4
564,41258,243,243235,243192,22077,201977,2,4
565,41346,226,243561,243535,22139,202215,2,4
566,41401,246,243807,243761,22184,202406,2,4
567,41477,275,280340,280315,22258,238863,2,5
568,41566,62,97812,97800,22319,56246,2,1
569,41653,50,64035,63985,22332,22382,2,0
570,41740,241,244551,244510,22395,202811,2,4
571,41794,254,280784,280780,22441,238990,2,5
572,41922,218,244969,244951,22463,203047,2,4
573,41960,262,281236,281224,22525,239276,2,5
574,42072,260,281333,281323,22516,239261,2,5
575,42165,35,64723,64688,22523,22558,2,0
576,42236,259,281786,281777,22587,239550,2,5
577,42332,259,281883,281874,22641,239551,2,5
578,42439,52,99651,99649,22684,57212,2,1
579,42521,265,282287,282272,22702,239766,2,5
580,42623,274,282511,282487,22800,239888,2,5
581,42697,253,282614,282611,22826,239917,2,5
582,42767,250,247012,246962,22856,204245,2,4
583,42835,259,282804,282795,22888,239969,2,5
584,42927,245,247407,247362,22910,204480,2,4
585,43048,262,283216,283204,22989,240168,2,5
586,43076,265,283231,283216,23011,240155,2,5
587,43164,245,247852,247807,23036,204688,2,4
588,43253,230,248032,248002,23097,204779,2,4
589,43312,260,283672,283662,23138,240360,2,5
590,43390,41,66641,66600,23210,23251,2,0
591,43445,249,248693,248644,23246,205248,2,4
592,43524,266,284119,284103,23267,240595,2,5
593,43634,250,249093,249043,23307,205459,2,4
594,43680,240,249183,249143,23361,205503,2,4
595,43756,246,249434,249388,23385,205678,2,4
596,43860,243,249577,249534,23381,205717,2,4
597,43951,240,249817,249777,23440,205866,2,4
598,44048,36,67577,67541,23493,23529,2,0
599,44105,244,250011,249967,23472,205906,2,4
600,44181,49,67776,67727,23546,23595,2,0
601,44260,53,103548,103545,23566,59288,2,1
602,44336,276,285559,285533,23590,241223,2,5
603,44409,233,250856,250823,23667,206447,2,4
